venue,city,country,roof,wc2026_grass_species,install_type,light_risk,surface_risk_1to5,prior_complaints,notes
MetLife Stadium,East Rutherford NJ,USA,open,Bermudagrass (Tahoma 31),temp grass over turf infra,med,5,yes,"Hosts final. Slow/bumpy/low-bounce in Copa 2024 & CWC 2025; multiple 0-0s. Normally artificial turf."
Mercedes-Benz Stadium,Atlanta,USA,dome,Kentucky bluegrass/ryegrass,full rebuild (Permavoid),high,5,yes,"Hardest pitch per UT researchers; LED grow lights. 'Disaster'/'bumpy' (Martinez, Copa 2024). Hosts a semifinal."
Lumen Field,Seattle,USA,open,verify,improved permanent-feel for WC,med,3,yes,"CWC sod laid ~10 days out & hand-watered (criticized); WC version laid months ahead, rooted in sand."
NRG Stadium,Houston,USA,dome,Kentucky bluegrass/ryegrass,full install,high,4,verify,"Indoor + AC drives cool-season grass choice despite warm climate. Light-limited."
AT&T Stadium,Arlington TX,USA,retractable,verify,full install,med,4,verify,"Retractable roof; light depends on usage. Hosted Copa games."
SoFi Stadium,Inglewood CA,USA,translucent,verify,full install,high,4,verify,"Translucent roof blocks ~65% of sunlight -> high light risk for grass."
Hard Rock Stadium,Miami,USA,open,Bermudagrass,permanent-feel,low,2,no,"Drew little/no criticism in CWC 2025. Warm-climate Bermuda."
Lincoln Financial Field,Philadelphia,USA,open,Kentucky bluegrass/ryegrass,permanent-feel,low,2,no,"Permanent-feel grass, not criticized in CWC 2025."
Levi's Stadium,Santa Clara CA,USA,open,verify,verify,low,2,verify,"Outdoor; normally natural grass. Lower risk; verify install."
Arrowhead Stadium,Kansas City,USA,open,verify,verify,low,2,verify,"Outdoor; normally natural grass. Verify species/install."
Gillette Stadium,Foxborough MA,USA,open,verify,full install,med,3,verify,"Normally artificial turf -> grass installed for WC. Verify quality."
Estadio Azteca (Banorte),Mexico City,Mexico,open,Kentucky bluegrass/ryegrass,established,low,2,verify,"ALTITUDE ~2240m is the dominant factor here, not surface. Cool-season grass for altitude."
Estadio Akron,Guadalajara,Mexico,open,Bermudagrass,established,low,2,verify,"Warm-climate Bermuda; established grass venue."
Estadio BBVA,Monterrey,Mexico,open,Bermudagrass,established,low,2,verify,"Warm-climate Bermuda; established grass venue. Heat a factor."
BMO Field,Toronto,Canada,open,Kentucky bluegrass/ryegrass,verify,low,3,verify,"Cool climate; verify whether grass or hybrid install."
BC Place,Vancouver,Canada,dome,verify,full install,high,4,verify,"Domed/retractable; normally artificial turf -> grass install. Light risk."
